,name,link,price,description,date_collected,image_link,in_stock,details
13,Chardonnay 2017 Kumeu Village,https://www.kingscountywines.com/chardonnay-village-2017-kumeu-river.html,23.99,"Bright acidity, lush, savory. If Burgundy was made in Auckland.",2020-02-10 22:52:07.242204,https://cdn.shoplightspeed.com/shops/603808/files/15862182/chardonnay-2017-kumeu-village.jpg,In stock,null
14,Jacquère Cuvée Baujues 2016 St. Germain,https://www.kingscountywines.com/jacquere-cuvee-des-baujues-2016-saint-germain.html,19.99,null,2020-02-10 22:52:07.424771,https://cdn.shoplightspeed.com/shops/603808/files/15360434/jacquere-cuvee-des-baujues-2016-domaine-st-germain.jpg,In stock,null
15,Chardonnay 2018 L’Agnostique,https://www.kingscountywines.com/chardonnay-2018-lagnostique.html,12.99,"Oak-free! Clean, buxom aperitivo chardonnay.",2020-02-10 22:52:07.633697,https://cdn.shoplightspeed.com/shops/603808/files/16015032/chardonnay-2018-lagnostique.jpg,In stock,null
16,Pomponette Aix-en-Provence 2018 Lefèvre,https://www.kingscountywines.com/pomponette-aix-en-provence-2018-lefevre.html,17.99,"Bretty, barnyardy syrah-blend. Some CO2. If you like it natty.",2020-02-10 22:52:07.874405,https://cdn.shoplightspeed.com/shops/603808/files/15360997/pomponette-aix-en-provence-2018-lefevre.jpg,In stock,null
17,Gavi 2018 Il Poggio di Gavi,https://www.kingscountywines.com/gavi-2018-il-poggio-di-gavi.html,16.99,"Natural, lady-made, super-low SO2 Gavi. Mineral, yet plump. Great.",2020-02-10 22:52:08.087821,https://cdn.shoplightspeed.com/shops/603808/files/15149059/gavi-2018-il-poggio-di-gavi.jpg,In stock,null
18,Canajò Vino Rosso 2018 Il Vinco,https://www.kingscountywines.com/canajo-vino-rosso-2018-il-vinco.html,21.99,"Biodynamic canaiolo from Lazio. Plums, licorice, libraries.",2020-02-10 22:52:08.291531,https://cdn.shoplightspeed.com/shops/603808/files/15360251/canajo-vino-rosso-2018-il-vinco.jpg,In stock,null
19,Côtes de Provence Rosé 1.5L 2018 Manon,https://www.kingscountywines.com/cotes-de-provence-rose-15l-2018-manon.html,32.99,Proper Provence rosé in proper Provence rosé sizing.,2020-02-10 22:52:08.490919,https://cdn.shoplightspeed.com/shops/603808/files/15359985/cotes-de-provence-rose-15l-2018-manon.jpg,In stock,null
20,Sauvignon Blanc 2018 Oops Wines,https://www.kingscountywines.com/sauvignon-blanc-2018-oops-wines.html,9.99,"As in ""oops, is it all gone?"" Crisp, fruity fun.",2020-02-10 22:52:08.682282,https://cdn.shoplightspeed.com/shops/603808/files/15099746/sauvignon-blanc-2018-oops-wines.jpg,In stock,null
21,Viognier 2018 Le Paradou*,https://www.kingscountywines.com/viognier-2018-paradou.html,12.99,"Stone fruity, floral, fragrant, fully dry. Peak viognier.",2020-02-10 22:52:08.871274,https://cdn.shoplightspeed.com/shops/603808/files/15099759/viognier-2018-le-paradou.jpg,In stock,null
22,Rdece Red 2016 Krasno,https://www.kingscountywines.com/rdece-red-2016-krasno.html,17.99,"Bordeaux blend from Slovenia. Smooth, sophisticated, calming.",2020-02-10 22:52:09.095676,https://cdn.shoplightspeed.com/shops/603808/files/15099763/rdece-red-2016-krasno.jpg,In stock,null
